#,CLIENTE,ID DE GRAFICO,NOMBRE DE EQUIPO,CATEGORÍA,URL ZABBIX CLIENTE
65,COMPAÑIA MINERA VOLCAN,34969,Minera Volcan - FirePower Management Center FMC01 - Qubo,Recursos,http://10.19.44.19/zabbix/,
66,COMPAÑIA MINERA VOLCAN,22931,Minera Volcan - FirePower Management Center FMC02 - Qubo,Recursos,http://10.19.44.19/zabbix/,
67,COMPAÑIA MINERA VOLCAN,1406,Minera Volcan - Fortigate - FW01,Recursos,http://10.19.44.19/zabbix/,
68,COMPAÑIA MINERA VOLCAN,1418,Minera Volcan - Fortigate - FW02,Recursos,http://10.19.44.19/zabbix/,
69,COMPAÑIA MINERA VOLCAN,1428,Minera Volcan - Fortinet - Fortianalyzer,Recursos,http://10.19.44.19/zabbix/,
70,COMPAÑIA MINERA VOLCAN,11228,Minera Volcan - FTD FW01 - Qubo,Recursos,http://10.19.44.19/zabbix/,
71,COMPAÑIA MINERA VOLCAN,34475,Minera Volcan - FTD FW02 - Qubo,Recursos,http://10.19.44.19/zabbix/,
72,COMPAÑIA MINERA VOLCAN,34517,Minera Volcan - FTD FW03 - Qubo,Recursos,http://10.19.44.19/zabbix/,
73,COMPAÑIA MINERA VOLCAN,1448,Minera Volcan - Symantec - Proxy - 01,Recursos,http://10.19.44.19/zabbix/,
74,COMPAÑIA MINERA VOLCAN,1449,Minera Volcan - Symantec - Proxy - 01,Conexiones Concurrentes,http://10.19.44.19/zabbix/,
75,COMPAÑIA MINERA VOLCAN,1456,Minera Volcan - Symantec - Proxy - 02,Recursos,http://10.19.44.19/zabbix/,
76,COMPAÑIA MINERA VOLCAN,1457,Minera Volcan - Symantec - Proxy - 02,Recursos,http://10.19.44.19/zabbix/,
77,COMPAÑIA MINERA VOLCAN,1440,Minera Volcan - Symantec Proxy Qubo,Recursos,http://10.19.44.19/zabbix/,
78,COMPAÑIA MINERA VOLCAN,1441,Minera Volcan - Symantec Proxy Qubo,Conexiones Concurrentes,http://10.19.44.19/zabbix/,
79,ANTAMINA,39478,ANTAMINA - PALO ALTO - ASVDPFWINT02,Recursos,http://10.19.44.19/zabbix/,
80,ANTAMINA,39479,ANTAMINA - PALO ALTO - ASVDPFWINT02,Sesiones Concurrentes,http://10.19.44.19/zabbix/,
81,ANTAMINA,39511,ANTAMINA - PALO ALTO - ASVYNFWWLG02,Recursos,http://10.19.44.19/zabbix/,
82,ANTAMINA,39512,ANTAMINA - PALO ALTO - ASVYNFWWLG02,Sesiones Concurrentes,http://10.19.44.19/zabbix/,
83,ANTAMINA,2482,ANTAMINA - PALO ALTO - PANORAMA,Sesiones Concurrentes,http://10.19.44.19/zabbix/,
84,ANTAMINA,2481,ANTAMINA - PALO ALTO - PANORAMA,Recursos,http://10.19.44.19/zabbix/,
85,ANTAMINA,11813,ANTAMINA - PALO ALTO DISPATCH,Recursos,http://10.19.44.19/zabbix/,
86,ANTAMINA,11814,ANTAMINA - PALO ALTO DISPATCH,Sesiones Concurrentes,http://10.19.44.19/zabbix/,
87,ANTAMINA,2486,ANTAMINA - PALO ALTO MINA - PRIMARIO,Recursos,http://10.19.44.19/zabbix/,
88,ANTAMINA,2487,ANTAMINA - PALO ALTO MINA - PRIMARIO,Sesiones Concurrentes,http://10.19.44.19/zabbix/,
89,ANTAMINA,2491,ANTAMINA - PALO ALTO MINA - SECUNDARIO,Recursos,http://10.19.44.19/zabbix/,
90,ANTAMINA,2492,ANTAMINA - PALO ALTO MINA - SECUNDARIO,Sesiones Concurrentes,http://10.19.44.19/zabbix/,
91,ANTAMINA,11714,ANTAMINA - PALO ALTO LIMA INTERNO - PRIMARIO,Recursos,http://10.19.44.19/zabbix/,
92,ANTAMINA,11715,ANTAMINA - PALO ALTO LIMA INTERNO - PRIMARIO,Sesiones Concurrentes,http://10.19.44.19/zabbix/,
93,ANTAMINA,11578,ANTAMINA - PALO ALTO LIMA INTERNO - SECUNDARIO,Recursos,http://10.19.44.19/zabbix/,
94,ANTAMINA,11579,ANTAMINA - PALO ALTO LIMA INTERNO - SECUNDARIO,Sesiones Concurrentes,http://10.19.44.19/zabbix/,
95,ANTAMINA,2496,ANTAMINA - PALO ALTO MINA - PRIMARIO,Recursos,http://10.19.44.19/zabbix/,
96,ANTAMINA,2497,ANTAMINA - PALO ALTO MINA - PRIMARIO,Sesiones Concurrentes,http://10.19.44.19/zabbix/,
97,ANTAMINA,2501,ANTAMINA - PALO ALTO MINA - SECUNDARIO,Recursos,http://10.19.44.19/zabbix/,
98,ANTAMINA,2502,ANTAMINA - PALO ALTO MINA - SECUNDARIO,Sesiones Concurrentes,http://10.19.44.19/zabbix/,
99,ANTAMINA,11719,ANTAMINA - PALO ALTO MINA INTERNO - PRIMARIO,Recursos,http://10.19.44.19/zabbix/,
100,ANTAMINA,11720,ANTAMINA - PALO ALTO MINA INTERNO - PRIMARIO,Sesiones Concurrentes,http://10.19.44.19/zabbix/,
101,ANTAMINA,11780,ANTAMINA - PALO ALTO MINA INTERNO - SECUNDARIO,Recursos,http://10.19.44.19/zabbix/,
102,ANTAMINA,11781,ANTAMINA - PALO ALTO MINA INTERNO - SECUNDARIO,Sesiones Concurrentes,http://10.19.44.19/zabbix/,
103,ANTAMINA,11846,ANTAMINA - PALO ALTO WLAN GUEST,Recursos,http://10.19.44.19/zabbix/,
104,ANTAMINA,11847,ANTAMINA - PALO ALTO WLAN GUEST,Sesiones Concurrentes,http://10.19.44.19/zabbix/,
105,APM TERMINALS,2546,APM Terminals - Firewall Principal - Callao - HA,Recursos,http://10.19.44.19/zabbix/,
106,APM TERMINALS,2558,APM Terminals - Firewall Sede Cajamarquilla,Recursos,http://10.19.44.19/zabbix/,
107,APM TERMINALS,9512,APM Terminals - Firewall Sede Grau,Recursos,http://10.19.44.19/zabbix/,
108,APM TERMINALS,2570,APM Terminals - Firewall Sede Paita,Recursos,http://10.19.44.19/zabbix/,
109,APM TERMINALS,2582,APM Terminals - Firewall Sede San Isidro,Recursos,http://10.19.44.19/zabbix/,
110,APM TERMINALS,2594,APM Terminals - Firewall Sede Villa el Salvador - HA,Recursos,http://10.19.44.19/zabbix/,
111,APM TERMINALS,9524,APM Terminals - Firewall Site Claro,Recursos,http://10.19.44.19/zabbix/,
112,APM TERMINALS,2606,APM Terminals - Firewall Site Telefonica,Recursos,http://10.19.44.19/zabbix/,
113,APM TERMINALS,14727,APM Terminals - FORTIANALYZER FORTINET,Recursos,http://10.19.44.19/zabbix/,
114,APM TERMINALS,2566,APM Terminals - Firewall Sede Cajamarquilla,Fortigate Sesions,http://10.19.44.19/zabbix/,
115,APM TERMINALS,9520,APM Terminals - Firewall Sede Grau,Fortigate Sesions,http://10.19.44.19/zabbix/,
116,APM TERMINALS,2578,APM Terminals - Firewall Sede Paita,Fortigate Sesions,http://10.19.44.19/zabbix/,
117,APM TERMINALS,2590,APM Terminals - Firewall Sede San Isidro,Fortigate Sesions,http://10.19.44.19/zabbix/,
118,APM TERMINALS,2602,APM Terminals - Firewall Sede Villa el Salvador - HA,Fortigate Sesions,http://10.19.44.19/zabbix/,
119,APM TERMINALS,9532,APM Terminals - Firewall Site Claro,Fortigate Sesions,http://10.19.44.19/zabbix/,
120,APM TERMINALS,2614,APM Terminals - Firewall Site Telefonica,Fortigate Sesions,http://10.19.44.19/zabbix/,
121,CAJA AREQUIPA,3974,CMAC AREQUIPA F5 INTERNO ACTIVO 172.23.100.28,Recursos,http://10.19.44.19/zabbix/,
122,CAJA AREQUIPA,3971,CMAC AREQUIPA F5 INTERNO ACTIVO 172.23.100.28,Bytes Per Second,http://10.19.44.19/zabbix/,
123,CAJA AREQUIPA,3976,CMAC AREQUIPA F5 INTERNO ACTIVO 172.23.100.28,Conexiones Concurrentes,http://10.19.44.19/zabbix/,
124,CAJA AREQUIPA,3983,CMAC AREQUIPA F5 INTERNO ACTIVO 172.23.100.28,Ha State,http://10.19.44.19/zabbix/,
125,CAJA AREQUIPA,3993,CMAC AREQUIPA F5 INTERNO PASIVO 172.23.100.29,Recursos,http://10.19.44.19/zabbix/,
126,CAJA AREQUIPA,3990,CMAC AREQUIPA F5 INTERNO PASIVO 172.23.100.29,Bytes Per Second,http://10.19.44.19/zabbix/,
127,CAJA AREQUIPA,3955,CMAC AREQUIPA F5 EXTERNO ACTIVO 172.23.100.30,Recursos,http://10.19.44.19/zabbix/,
128,CAJA AREQUIPA,3952,CMAC AREQUIPA F5 EXTERNO ACTIVO 172.23.100.30,Bytes Per Second,http://10.19.44.19/zabbix/,
129,CAJA AREQUIPA,3957,CMAC AREQUIPA F5 EXTERNO ACTIVO 172.23.100.30,Conexiones Concurrentes,http://10.19.44.19/zabbix/,
130,CAJA AREQUIPA,3964,CMAC AREQUIPA F5 EXTERNO ACTIVO 172.23.100.30,Ha State,http://10.19.44.19/zabbix/,
131,CAJA AREQUIPA,4012,CMAC AREQUIPA F5 EXTERNO PASIVO 172.23.100.31,Recursos,http://10.19.44.19/zabbix/,
132,CAJA AREQUIPA,4009,CMAC AREQUIPA F5 EXTERNO PASIVO 172.23.100.31,Bytes Per Second,http://10.19.44.19/zabbix/,
133,CAJA AREQUIPA,4014,CMAC AREQUIPA F5 EXTERNO PASIVO 172.23.100.31,Conexiones Concurrentes,http://10.19.44.19/zabbix/,
134,CAJA AREQUIPA,4021,CMAC AREQUIPA F5 EXTERNO PASIVO 172.23.100.31,Ha State,http://10.19.44.19/zabbix/,
135,ENTEL,1531,PEENTFWCS-Firewall Olguin Master,Recursos,http://10.19.44.106/zabbix/,
136,ENTEL,1534,PEENTFWCS-Firewall Olguin Slave,Recursos,http://10.19.44.106/zabbix/,
137,ENTEL,1537,PEENTFWCS-Firewall SBJ Master,Recursos,http://10.19.44.106/zabbix/,
138,ENTEL,1540,PEENTFWCS-Firewall SBJ Slave,Recursos,http://10.19.44.106/zabbix/,
139,ENTEL,1543,PEENTFWCS-Firewall VPN Activo,Recursos,http://10.19.44.106/zabbix/,
140,ENTEL,1546,PEENTFWCS-Firewall VPN Standby,Recursos,http://10.19.44.106/zabbix/,
141,ENTEL,1550,PEENTNSCT-Citrix Activo,Recursos,http://10.19.44.106/zabbix/,
142,ENTEL,1553,PEENTNSCT-Citrix Pasivo,Recursos,http://10.19.44.106/zabbix/,
143,OSINERGMIN,5320,OSINERMING - F5 ASM WAF01,Bytes Per Second,http://10.19.44.19/zabbix/,
144,OSINERGMIN,5325,OSINERMING - F5 ASM WAF01,Conexiones Concurrentes,http://10.19.44.19/zabbix/,
145,OSINERGMIN,5332,OSINERMING - F5 ASM WAF01,Ha State,http://10.19.44.19/zabbix/,
146,OSINERGMIN,5323,OSINERMING - F5 ASM WAF01,Recursos,http://10.19.44.19/zabbix/,
147,OSINERGMIN,5339,OSINERMING - F5 ASM WAF02,Bytes Per Second,http://10.19.44.19/zabbix/,
148,OSINERGMIN,5344,OSINERMING - F5 ASM WAF02,Conexiones Concurrentes,http://10.19.44.19/zabbix/,
149,OSINERGMIN,5351,OSINERMING - F5 ASM WAF02,Ha State,http://10.19.44.19/zabbix/,
150,OSINERGMIN,5342,OSINERMING - F5 ASM WAF02,ICM Ping,http://10.19.44.19/zabbix/,
151,SODIMAC,6300,SODIMAC - Fortimanager-VM64-HV,Recursos,http://10.19.44.19/zabbix/,
152,SODIMAC,6299,SODIMAC - Fortimanager-VM64-HV,Recursos,http://10.19.44.19/zabbix/,
153,BANCO FALABELLA,2810,BANCO FALABELLA - F5 - 172.22.172.213 (PASIVO),Conexiones Concurrentes,http://10.19.44.19/zabbix/,
154,CAJA AREQUIPA,4002,CMAC AREQUIPA F5 INTERNO PASIVO 172.23.100.29,Ha State,http://10.19.44.19/zabbix/,
155,CAJA AREQUIPA,3995,CMAC AREQUIPA F5 INTERNO PASIVO 172.23.100.29,Conexiones Concurrentes,http://10.19.44.19/zabbix/,
156,BBVA PERÚ,1701,PEBVAFWCHK-Firewall Contingencia,Recursos,http://10.19.44.106/zabbix/,
157,BBVA PERÚ,1691,PEBVADBIPV-DBF02,Recursos,http://10.19.44.106/zabbix/,
158,BBVA PERÚ,1692,PEBVADBIPV-DBF03 Recursos,Recursos,http://10.19.44.106/zabbix/,
159,APM TERMINALS,2554,Firewall Principal - Callao - HA,Fortigate Sesions,http://10.19.44.19/zabbix/,
160,BANCO PICHINCHA COLOMBIA,1208,Americas PaloAlto,Recursos,http://10.19.44.106/zabbix/,
161,BANCO PICHINCHA COLOMBIA,1207,Zona Franca Palo Alto,Recursos,http://10.19.44.106/zabbix/,
162,BANCO PICHINCHA COLOMBIA,1203,Panormama Resources,Recursos,http://10.19.44.106/zabbix/,
